,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
SGP,81.424,78.091,85.054,23.0,9.666,100.0,61.97,78.298,1.079809446623892,28.346,5.0,2.0,23.147,11.0,2.5,9.287,7.74,319.148,4.109,4.485,70.538,67.64,0.726,83.802,0.066,41.831,24.859,13.326,25.0,555.194,97341.469,88155.214,71387.276,103421.386,0.065,0.751,0.954,0.979,1.0,0.844,0.938,0.985,0.931,0.945,0.75,11.177,12.113,83.62,16.441,11.625,85.728,81.526,16.658,16.283,5.804,4.369,0.719,0.25,3.53,1.07,16.382,16.464,11.0,1.089,1.879,12.833,0.813
SLB,61.86709228002534,55.57282456929088,69.74156969051023,4.082,65.677,24.2,82.096,85.551,1.357,2.115,19.0,2.0,33.86475948243692,21.69316657568062,12.1,1.069,-1.513,97.20551712148526,0.576,1.558,83.836,83.353,37.593,52.861,49.053,48.655,34.2502673170072,17.91301833672877,19.4,1.586,2367.404,2253.346,1974.286,2523.112,0.44791588376688224,0.35895614882102145,0.717,0.815,0.471,0.474,0.567,0.8988057366141119,0.5311322046720282,0.5876204675992491,0.379,5.107351259882525,6.449939748671605,73.0,10.22,5.712,74.866,71.3,9.739,10.702,0.67,0.377,0.024,0.102,78.003,1.07,71.36,6.456,151.0,1.064,1.538,27.578789012543584,0.41350882251491117
SLE,26.463,20.126,33.01,12.329,86.125,42.5,57.309,58.489,1.575,-0.8226741770103772,7.0,5.0,22.554092575403967,46.9,39.0,8.966,16.162710290705895,54.22610908142088,4.428,11.155,57.896,55.333,54.931,38.612,75.163,53.43,19.17558051156784,35.619,17.738,13.426,1718.371,1667.844,1469.547,1866.982,0.644,0.216,0.326,0.534,0.425,0.406,0.452,0.884,0.423,0.479,0.35,2.93,4.478,54.7,10.176,3.7,55.495,53.853,9.732,10.62,7.813,4.401,0.23,1.147,112.828,1.02,72.299,5.233,182.0,0.695,0.411,34.546,0.291
SMR,61.864442071335084,60.20984617325776,63.78115117551424,25.0,25.151730614981872,97.4,49.10687980807383,74.17037454114856,1.9910779063141781,4.328375889845383,14.0,10.0,21.48775649070955,17.47632519219939,12.498773487928538,17.127141173178234,0.35310476055766316,102.46436263696138,7.558479876017508,17.852482977832207,62.58738949151103,58.142959222148995,10.283086522502096,69.4584672976074,2.4790682915707123,38.09098377954685,22.922841549374454,18.35575340674584,23.852716137494426,2.005,59349.971,46067.03019617201,34644.12619687714,54236.562739283705,0.3563643719361478,0.5578026002166943,0.7046635096146855,0.8096800326332413,0.7142744242141428,0.6593390846049945,0.7220597656931073,0.9380227009054255,0.6982033423137031,0.7377290697685915,0.5533956563868162,8.173208670042346,9.187009603594966,72.61596129327607,13.05,8.660263554609822,74.91844489938612,70.33023185984788,12.829,13.269,0.034,10.979856694990477,8.362695740021113,-7.133439380827111,47.767629138438515,1.0517341698935094,45.22095737174379,13.811500320934979,95.10968730637464,1.5609427275122876,1.353965450401582,18.964288482189968,0.5952025582839602
SOM,54.382923674296606,48.943507255496726,58.88083301098278,24.316,87.245,45.6,21.755,73.61,8.901780890787897,-12.36617557299541,54.0,48.0,18.4204613068035,27.283181310523815,38.9,16.986,13.496525376784746,-1.009811087326895,11.351,25.116,47.398,42.018,83.112,13.31,85.932,17.978,14.049996772740094,30.56796311023754,25.731587045045135,697.6137383990854,20909.316323118215,20260.234001021643,14872.30047106616,25153.53934432197,0.5465529204901416,0.5583238916745145,0.352,0.575,0.7183899811321083,0.6782299821482276,0.6644242155686897,0.9364603929937846,0.6496887109685747,0.684644465944895,0.4903192334895832,7.81193427375316,9.062872630409375,57.4,13.098666421522973,8.43620402559235,59.132,55.725,12.86062519186634,13.284168646257843,15.443,7.834,0.446,2.749,100.085,1.03,91.422,5.695,181.055941488452,0.969,0.985,32.472130125636305,0.3119005066890904
SRB,89.8,86.308,93.618,37.652,24.297,56.3,47.407,62.81,8.244,8.329,13.0,1.0,22.433,7.472,4.9,30.034,-8.212,112.644,12.686,17.511,54.876,47.915,15.459,57.399,0.223,45.158,23.563,12.531,23.971,126.258,18179.775,17191.669,13989.976,20525.483,0.132,0.724,0.819,0.862,0.777,0.783,0.806,0.977,0.797,0.815,0.591,10.794,11.632,76.0,14.737,11.194,78.617,73.407,15.279,14.226,8.772,5.765,1.644,0.422,14.706,1.07,23.648,28.516,64.0,1.167,1.114,12.114,0.705
SSD,33.085,25.338922624329612,40.506216775523995,26.559,84.854,19.9,70.959,73.833,6.784822926218616,-1.2415686641760324,51.0,49.0,21.616420602692102,39.6,36.2,18.782,9.738731586350205,33.48422004960803,12.244,20.225,72.386,63.523,56.875,29.235,93.27453768810162,30.244,23.648659806183222,36.259,32.3,340.59460166903557,1696.2337181720868,2003.319,1758.757,2247.397,0.6941114345420503,0.185,0.372,0.582,0.453,0.307,0.433,0.842,0.384,0.456,0.307,3.939,5.208,57.85,5.296,4.8,59.383,56.351,3.549,5.883,11.062,6.09,0.374,1.698,62.04,1.04,75.502,6.133,185.0,1.207,0.86,36.033,0.276
STP,40.802,31.517,45.821,14.545,48.114,73.6,41.421,74.37,2.37,1.4624512233323372,5.0,3.0,21.585522927956262,18.3,17.0,20.702,9.621658125725581,72.87607726026395,13.369,22.6,57.789,50.064,19.095,62.472,29.321434572217342,37.096,20.777465077528586,16.8,14.9,0.852,3963.784,3952.072,2462.347,5439.389,0.537,0.463,0.643,0.775,0.555,0.567,0.625,0.906,0.59,0.651,0.473,5.756,7.147,70.39,12.687,6.437,72.814,67.98,12.795,12.579,0.215,0.118,0.006,0.032,94.61,1.03,76.777,5.391,135.0,2.297,2.01,16.733,0.52
SUR,60.532,61.527,60.085,31.373,12.194,66.1,38.753,63.668,0.007,1.827,36.0,19.0,26.370568738231643,18.368,12.8,15.306,-3.107,87.95874979950948,7.334,26.337,51.136,47.385,7.518,69.013,14.362,37.589,24.784549672101818,27.507,46.696,9.493,16328.686,14324.377,9503.86,19092.987,0.436,0.551,0.693,0.795,0.75,0.675,0.738,0.985,0.729,0.74,0.4,9.384,9.121,71.68,13.188,9.261,75.063,68.468,13.793,12.483,0.581,0.384,0.041,0.052,61.655,1.08,40.73,10.616,97.0,2.645,2.419,25.955,0.535
SVK,99.281,99.206,100.0,20.0,11.798,53.7,52.182,67.442,1.887,2.194,4.0,1.0,21.529,1.556,5.0,16.212,-1.822,185.25,5.561,11.204,59.541,56.23,2.184,61.565,-7.675020886304026,45.584,23.286,6.163,11.677,178.853,32792.555,32113.046,24617.901,40014.435,0.191,0.813,0.841,0.885,0.872,0.826,0.86,0.992,0.855,0.862,0.77,12.576,12.752,77.54,14.487,12.693,80.96,74.02,14.992,14.005,5.457,3.727,0.883,0.284,25.684,1.05,22.735,23.678,39.0,1.225,1.399,6.078,0.807
SVN,97.773,97.249,98.32,22.308,11.196,54.8,53.401,63.426,1.065,2.571,6.0,2.0,19.303,2.122,2.9,9.111,0.308,159.736,4.195,6.808,58.361,55.913,5.226,61.325,-8.926495357663313,46.271,20.728,4.58,8.676,80.78,38688.783,38079.534,33885.021,42311.692,0.063,0.891,0.916,0.943,0.898,0.91,0.917,1.001,0.916,0.914,0.82,12.643,12.677,81.32,17.572,12.659,84.04,78.575,18.34,16.849,2.079,1.345,0.42,0.103,3.776,1.06,23.344,31.196,22.0,1.228,1.464,4.566,0.875
SWE,89.302,89.286,89.544,47.278,6.063,87.7,61.384,67.766,0.599,4.557,3.0,2.0,24.44,3.687,2.9,17.783,2.502,90.486,6.476,6.453,64.562,60.381,1.648,80.444,-3.1518792167372496,48.25,25.151,6.667,12.987,547.238,53205.056,54507.805,47708.534,61287.049,0.039,0.884,0.938,0.966,0.952,0.918,0.945,0.983,0.936,0.953,0.828,12.694,12.4,82.8,19.482,12.548,84.56,81.029,20.412,18.586,10.036,6.24,2.027,0.598,5.076,1.06,28.348,32.486,7.0,0.927,0.845,6.525,0.882
SYC,65.19703759417361,67.21720440560546,63.37025454643361,21.212,22.04374374075231,57.1,55.306501207538645,72.33456963226152,1.392,13.873,1.0,1.0,29.478719717997183,6.656,9.6,21.717454126265395,-13.643,155.246,9.136807981144862,20.522799088909554,64.04279681443833,58.238797754151946,14.193306498039554,63.20388165644873,-7.7224298589521965,43.85757016061624,31.567,15.829,29.3,2.837,29055.749,26903.246,19982.929271305984,32991.86884965962,0.29802306561347736,0.678,0.743,0.822,0.845,0.726,0.796,0.9809285726440012,0.7878649469432251,0.7989534529176721,0.598,9.924,10.071,73.4,14.15,9.992,77.382,69.901,15.333,13.075,0.098,0.067,0.008,0.008,62.05,1.06,34.681,11.404,67.0,2.4337927349466,1.8377759539857048,15.185,0.67
SYR,40.96,37.12,43.372,13.2,32.43,54.8,14.446,74.119,5.419104521749724,-5.746290751347985,41.0,28.0,25.386512878697943,24.644356940836353,13.0,20.941,17.436852470986288,33.94737519793681,8.37,33.398,44.114,40.422,10.729,62.719,53.838,14.634,24.848000959481006,20.732586865310218,23.31231093939523,377.5497936290037,3291.8681174794883,3613.053,988.654,6225.496,0.482,0.27882975356102535,0.705,0.811,0.542,0.416,0.567,0.829,0.492,0.593,0.44110944535562135,4.63,5.6,72.7,8.85,5.1,78.103,67.941,8.896,8.805,17.07,10.968,0.801,1.826,38.592,1.05,48.339,7.303,151.0,3.525,2.834,25.770694627923035,0.4285568447987742
TGO,40.762,27.62,54.393,16.484,80.911,42.2,76.277,78.936,8.397,6.00790563516262,25.0,10.0,28.015,37.728,30.5,3.469,3.322570815043804,71.241,2.038,10.335,77.592,76.011,37.699,49.419,61.649,51.562,28.015,31.845,26.853,12.899,1595.929,1602.349,1220.006,1988.598,0.573,0.322,0.439,0.631,0.419,0.517,0.515,0.822,0.464,0.565,0.307,3.473,6.701,61.04,12.665,4.95,61.918,60.152,11.508,13.816,8.082,4.535,0.233,1.204,89.091,1.02,73.062,5.145,167.0,0.613,0.972,31.694,0.351
THA,45.909,43.478,48.562,14.133,48.472,50.7,59.2,76.08,1.302,1.162,4.0,1.0,22.599,18.3,7.9,3.865,3.019,110.299,0.754,14.287,67.326,66.818,31.615,45.75,0.125,47.572,23.947,16.86,23.8,1285.504,18463.094,17781.191,15924.394,19737.435,0.359,0.557,0.81,0.879,0.783,0.682,0.777,1.008,0.782,0.776,0.596,7.708,8.192,77.15,15.029,7.939,80.9,73.46,15.805,14.668,69.626,49.274,8.638,3.648,44.908,1.06,23.772,17.53,79.0,0.971,1.394,16.667,0.646
TJK,94.529,93.33,95.74,20.0,41.752,27.3,31.284,52.834,28.606,2.622,2.0,2.0,21.30574168036722,6.038,16.7,20.819,-1.435,75.81948296137223,11.017,23.035,42.021,37.391,44.921,39.364,15.867,27.294,23.031614313528767,12.575,14.5,31.503,3379.749,3953.598,1439.882,6427.247,0.314,0.641,0.655,0.786,0.555,0.682,0.668,0.823,0.586,0.712,0.475,10.21,11.264,71.1,11.662,10.734,73.389,68.935,10.73,12.594,9.321,5.578,0.288,1.347,57.076,1.07,61.947,5.157,125.0,0.852,0.952,12.413,0.584
TKM,65.37135483233409,68.00567723382302,61.33598166802149,25.0,25.219,52.0,51.407,78.315,5.363467208065823,-2.117842185020514,1.0,1.0,25.46833782265394,2.945,23.4,8.27,-3.8686227389698615,87.640766131209,3.913,21.75,64.482,61.959,19.883,37.718,14.474,42.136,26.140812114715377,18.042,26.205,86.859,14845.329,14908.671,10493.486,19460.758,0.4316902738487057,0.634,0.568,0.741,0.756,0.653,0.715,0.9405301097069295,0.7009871185987724,0.7288369275092005,0.558,9.911902259688029,10.60344182804483,68.19,11.189,10.274,71.717,64.705,10.911,11.462,5.942,3.842,0.273,0.676,24.418,1.05,47.577,7.104,111.0,0.426,0.596,17.517,0.586
TLS,0.0,-5.487091635564607,5.029068218138804,38.462,67.655,30.9,61.882,72.721,5.998,4.456,15.0,8.0,21.028921825329682,44.9,21.7,12.633,11.632,60.458862720092256,4.548,19.735,67.338,64.275,44.482,45.852,62.645,47.524,24.655638205970128,28.053,13.587,4.039,3123.109,4440.458,4486.467,4395.426,0.46197719450174535,0.281,0.596,0.762,0.573,0.51,0.606,0.942,0.587,0.623,0.495,3.773,5.628,69.5,12.616,4.794,71.635,67.492,12.209,13.024,1.293,0.755,0.055,0.174,33.785,1.05,63.832,7.337,141.0,1.935,1.527,26.729,0.436
TON,93.784,94.0,93.4,7.407,52.24,23.1,45.737,74.337,8.945418751186015,5.693151860123841,1.0,1.0,28.034424309706807,4.5,10.4,3.587,-8.060655497489726,90.41910583248585,1.117,20.206,59.75,59.083,24.189,46.706,11.157050491849361,49.814,25.445032409758664,11.440623219624278,18.95487256809855,0.647,6266.903,6364.578,4310.574,8415.636,0.354,0.74,0.702,0.783,0.627,0.775,0.725,0.95,0.702,0.739,0.5095486473556605,11.324,11.16,70.91,14.406,11.24,72.887,68.967,14.623,13.979,0.104,0.062,0.006,0.012,14.662,1.05,59.461,10.075,104.0,3.796,3.576,19.741354331439005,0.5760158165943928
TTO,73.458,74.454,71.213,32.877,18.14,53.2,50.062,70.239,0.576,5.686080745799913,1.0,3.0,24.576219628599542,15.611051346469432,14.9,6.373,-6.764826894973304,99.8010427405682,2.686,26.311,59.957,58.347,2.975,70.299,0.568,43.218,24.46927209758965,18.784773966648377,24.11406390561862,36.515,26175.952,26230.716,20482.157,32121.156,0.323,0.6410623018582865,0.701,0.823,0.841,0.728,0.796,1.003,0.796,0.793,0.6174521524216301,11.136,10.942,73.51,12.96,11.034,76.224,70.874,13.953,11.967,1.395,0.957,0.155,0.09,30.09,1.04,29.526,16.202,67.0,1.094,1.037,14.520525204771928,0.6886418590907732
TUN,44.861,42.438,54.564,22.581,19.964,69.3,23.777,69.433,4.903,3.6200275995618796,5.0,3.0,22.146336134250244,30.703,9.0,36.261,-3.367203369834961,110.535,16.022,24.756,46.124,38.734,13.031,54.419,0.89,24.975,26.4046741176258,19.459,16.89,125.783,10755.58,10414.064,4586.806,16340.581,0.296,0.458,0.794,0.872,0.702,0.661,0.74,0.9,0.689,0.766,0.583,6.477,7.996,76.7,15.126,7.22,78.721,74.688,15.823,14.281,11.695,7.857,1.005,1.019,7.841,1.06,36.061,12.792,95.0,1.749,1.122,18.864,0.596
TUR,60.346,50.159,72.238,17.45,27.043,75.6,34.013,72.586,0.107,1.117,3.0,1.0,26.092,16.5,9.0,23.679,-0.565,61.395,13.49,25.655,52.829,45.702,18.376,55.316,0.395,28.938,25.09,16.707,24.095,2349.995,28167.397,27700.895,17853.972,37806.629,0.306,0.611,0.808,0.888,0.85,0.731,0.82,0.924,0.784,0.848,0.645,7.277,8.955,77.69,16.603,8.107,80.563,74.724,16.018,17.07,83.43,55.884,7.28,6.658,26.559,1.05,36.264,13.027,54.0,1.363,1.311,16.532,0.683
TUV,63.40162023705385,63.494564958826686,63.70200842283856,6.25,32.14360946019994,63.2,49.03755066267052,75.24011693962991,8.582,6.018341680253847,4.0,1.0,25.485226366928863,10.5,11.808454759840526,18.647743891089043,-2.0206042928032204,101.26973989415353,7.874873234732142,22.33567878917355,62.575845208831524,57.847331122505075,17.547005318565148,59.340584138042374,9.570354091406728,40.28091104328528,26.404506002228246,15.378323299421108,23.11386803636151,0.05,4287.535,6132.202,3986.7921974743563,8324.694165611441,0.36856163789490226,0.584880550976288,0.7057436758126426,0.8118279231681739,0.622,0.6739986426681543,0.6972462580294755,0.9362087055291098,0.6723510962880022,0.7138848754038734,0.4947658614128062,8.567698575997415,8.964546265966826,72.63033330904224,12.309,8.734572880752761,74.97816955188571,70.34190411498703,12.514800358418611,12.113340797895455,0.012,10.971311160680802,8.365129531074338,-7.139159709869892,47.767629138438515,1.0517341698935094,45.22095737174379,13.811500320934979,95.10968730637464,1.5609427275122876,1.353965450401582,18.964288482189968,0.5952025582839602
TZA,14.383,12.015,16.932,36.896,82.728,34.5,79.565,87.338,0.688,-1.0075236237387202,12.0,9.0,24.563731186254692,27.0,25.3,3.566,7.26583955874635,55.16944451913291,1.98,16.505,83.412,81.761,65.306,27.943,68.542,45.005,28.15799283370425,24.953,22.4,149.785,2660.42,2599.847,2221.973,2978.298,0.556,0.313,0.522,0.699,0.492,0.429,0.529,0.948,0.514,0.542,0.382,5.814,6.432,65.46,8.098,6.122,67.233,63.643,8.161,8.037,58.005,31.054,1.52,9.528,118.385,1.03,81.896,4.895,163.0,1.608,1.395,24.9,0.397
UGA,32.203,27.482,35.132,34.858,75.239,24.4,66.998,73.921,4.143,3.682,13.0,1.0,25.826,27.9,27.2,2.701,-2.634,46.019,1.843,16.604,70.337,69.04,72.666,20.731,65.45,41.205,26.467,26.654,24.94,96.563,2181.248,2123.269,1591.23,2671.295,0.535,0.377,0.486,0.667,0.462,0.523,0.544,0.863,0.503,0.582,0.346,4.907,7.628,63.37,11.413,6.172,65.622,61.0,10.595,12.23,44.27,22.815,0.869,7.686,118.836,1.03,90.226,3.808,159.0,1.636,1.519,26.68,0.399
UKR,94.597,94.0,95.24,20.519,14.852,69.5,46.732,63.094,10.351,1.979,7.0,8.0,18.019,3.6,7.4,18.827,-4.913,90.174,8.882,17.462,54.151,49.341,14.478,60.955,0.123,49.032,12.595,6.547,8.5,538.388,12810.289,13215.936,10088.442,16839.984,0.234,0.77,0.742,0.801,0.738,0.799,0.779,1.0,0.776,0.776,0.675,11.336,11.348,72.07,15.074,11.397,76.848,67.097,15.287,14.86,43.994,29.632,7.349,2.184,23.711,1.06,23.665,24.801,74.0,0.791,1.045,6.5,0.728
URY,56.832,58.831,54.579,20.93,24.32,95.4,55.579,73.324,0.183,1.338,4.0,1.0,17.183,6.526,7.9,27.051,2.937,41.03,8.731,18.426,64.021,58.431,8.119,72.967,0.1,46.74,16.161,12.852,23.358,74.639,21561.062,20063.642,15444.871,25008.271,0.288,0.715,0.821,0.891,0.801,0.765,0.817,1.016,0.814,0.801,0.614,9.191,8.627,77.91,16.836,8.926,81.478,74.119,17.107,15.142,3.462,2.236,0.517,0.238,58.727,1.05,31.669,23.129,55.0,1.496,1.331,12.595,0.712
USA,96.029,96.076,95.979,23.729,3.837,82.5,56.126,68.186,0.032,1.454,10.0,3.0,22.468551824008607,2.753,6.3,8.543,-1.445,26.389,3.682,13.814,62.049,59.765,1.34,78.853,-11.669617913154042,46.349,21.13722180698199,12.743,27.144,20574.972,62682.8,63825.657,50590.343,77338.342,0.204,0.875,0.848,0.906,0.976,0.9,0.926,0.994,0.922,0.928,0.711,13.461,13.363,78.86,16.31,13.413,81.405,76.341,16.921,15.716,329.065,214.686,53.34,19.604,19.86,1.05,28.432,24.846,17.0,0.967,0.756,12.066,0.808
UZB,99.905,99.86,99.957,16.4,41.977,50.4,52.378,78.113,14.754,3.947,2.0,4.0,39.996,0.7,13.9,11.592,-6.266,73.017,5.917,19.914,65.06,61.21,23.924,46.597,37.196,40.58,39.804,11.680585434929537,20.272160833206005,235.021,6998.705,7141.954,5064.0,9230.201,0.288,0.723,0.685,0.796,0.645,0.729,0.72,0.939,0.695,0.74,0.5543151609522952,11.619,12.002,71.73,12.059,11.807,73.829,69.592,11.868,12.241,32.982,21.968,1.516,3.435,23.79,1.06,43.235,6.899,106.0,0.936,1.08,19.786864898793368,0.5710040004730255
VCT,60.34622457528298,62.58012835009231,58.1712318071,13.043,19.865,52.6,54.361,77.01,5.667,7.161678591345506,1.0,1.0,24.202484101835662,9.873628747636614,11.3,41.681,-3.8996249777142893,92.29128801435508,18.881,28.591,65.868,53.432,10.727,69.339,13.360305650605511,44.516,24.69062021388742,17.309235786638663,28.941061025489972,1.379,12466.235,12377.654,8879.661,15775.815,0.3265229988256186,0.5829202515016931,0.717,0.808,0.728,0.684,0.738,0.965,0.724,0.75,0.5617555300349342,8.858,8.714,72.53,14.094,8.785,75.131,70.289,14.231,13.957,0.111,0.075,0.011,0.008,49.02,1.03,32.604,14.313,97.0,0.818,1.089,18.79859379194277,0.5923254961083669
VEN,69.208,71.712,66.614,22.156,35.61,88.2,45.44,74.853,3.7380328936922322,1.5117177203365983,7.0,15.0,22.003961820817988,8.8,17.1,18.781,6.301818728915947,74.61308142403159,8.801,22.553,59.73,54.473,8.306,75.069,18.764,41.935,19.06347750737006,17.3,25.2,441.24946446646413,7023.3774825452,7044.639,5172.528,8973.449,0.479,0.638,0.664,0.801,0.643,0.7,0.711,1.009,0.712,0.706,0.481,10.593,10.011,72.06,12.816,10.307,76.004,68.327,13.812,11.82,28.516,18.531,2.171,2.419,85.337,1.05,42.169,11.713,113.0,1.101,1.431,17.033,0.588
VNM,69.779,66.439,78.169,26.721,54.074,36.6,72.708,82.363,6.491,15.881808817949803,5.0,4.0,24.178,17.6,12.9,7.289,-17.35096745803653,210.4,2.013,9.652,77.447,75.888,37.358,35.0,6.16,46.864,26.844,16.477,19.133,775.669,8041.179,7432.707,6644.295,8223.729,0.296,0.519,0.742,0.852,0.651,0.63,0.704,0.997,0.703,0.705,0.526,8.018,8.632,75.4,12.692,8.32,79.523,71.301,12.877,12.51,96.462,66.783,7.286,7.891,30.929,1.12,33.53,10.911,117.0,0.901,1.065,16.544,0.588
VUT,0.0,-1.9626008983632701,2.8558458700834866,0.1,70.417,25.4,60.956,78.781,3.84,5.523127871257596,20.0,5.0,28.480093379092768,28.366239046111502,14.4,8.757,0.7524266112615727,89.55018624529016,4.385,26.004,69.875,66.811,55.842,37.843,43.84210159911291,44.181,30.813576908152374,21.073275091301092,19.7,0.943,3143.628,3104.799,2406.473,3783.861,0.43524728779744076,0.45245273894180105,0.665,0.776,0.519,0.561,0.609,0.9151953751593248,0.5777324615350055,0.6285180453572287,0.417,6.542246282450783,7.676387267635079,70.47,11.734,7.065,72.154,68.985,11.489,11.978,0.3,0.173,0.011,0.041,49.437,1.07,67.121,6.271,140.0,1.236,1.072,25.37654806033141,0.4555051197018303
WSM,74.942,79.127,71.583,10.0,29.983,18.1,31.104,55.456,17.254,3.1146085639081775,13.0,14.0,27.318980406039284,4.9,10.0,18.125,-10.401587699799954,91.123,8.359,37.395,43.685,40.033,30.394,46.542,1.9756776467234687,45.424,26.66128088106035,12.946771162692105,23.108334121691787,1.284,6517.034,6308.652,4054.375,8410.109,0.36,0.678,0.738,0.82,0.626,0.713,0.715,0.9478355816284559,0.6932020766822322,0.7255268741119726,0.5057006564306243,10.74786047190973,10.797126893653292,73.32,12.73,10.779,75.464,71.324,13.177,12.282,0.197,0.113,0.01,0.027,23.886,1.08,66.194,8.623,111.0,1.297,1.492,21.104700262261737,0.5515237755395201
YEM,28.02,19.92,36.918,0.971,45.627,37.3,5.834,70.183,7.999176946612734,-4.382861858542629,33.0,19.0,25.0828254792372,46.1,24.7,24.041,23.335006498537304,9.400802154482164,12.91,44.792,38.0,33.094,28.976,60.976,85.079,4.985,23.884967151467407,31.702,21.8,335.8042187190001,1190.7584194701703,1593.704,186.041,2980.035,0.795,0.189,0.534,0.71,0.418,0.35,0.47,0.488,0.27,0.553,0.327,2.88,5.146,66.13,8.769,3.2,67.826,64.443,7.367,10.246,29.162,16.877,0.846,4.099,60.352,1.05,67.773,5.015,179.0,2.088,1.467,30.867,0.321
ZAF,75.478,74.977,78.207,45.333,10.298,66.9,49.61,62.749,0.253,1.316,28.0,16.0,17.9,17.294,19.2,55.973,-2.99,59.205,28.181,32.634,56.017,40.231,5.088,72.006,17.096,44.645,17.589,33.992,56.996,730.913,12481.813,12129.23,9247.751,15094.546,0.406,0.599,0.549,0.679,0.725,0.724,0.709,0.986,0.702,0.712,0.312,10.031,10.291,64.13,13.791,10.241,67.679,60.726,14.176,13.411,58.558,38.424,3.171,5.786,67.908,1.03,44.148,8.253,114.0,1.149,1.161,31.163,0.468
ZMB,44.44,38.488,54.068,17.964,78.134,44.1,70.37,79.076,0.551,2.087,7.0,6.0,37.713,20.436,26.5,21.408,1.663,70.035,11.425,19.695,74.615,66.091,48.839,40.327,63.993,42.838,39.232,31.336,44.84,62.147,3479.492,3325.519,3379.549,3270.422,0.539,0.443,0.496,0.675,0.529,0.557,0.584,0.958,0.569,0.593,0.292,6.283,8.176,63.89,11.478,7.152,66.891,60.848,10.687,11.603,17.861,9.542,0.378,2.902,120.112,1.03,83.229,3.96,146.0,1.147,1.079,30.592,0.401
ZWE,64.935,59.792,70.783,34.571,64.739,32.2,78.106,88.993,8.068,4.005311883951132,15.0,6.0,22.415410468966684,14.605,24.2,8.085,-7.035438829878537,78.88009758645043,4.954,16.047,83.099,78.982,66.544,26.873,43.144,45.464,25.061558807970716,22.767,28.769,41.534,2835.949,2665.612,2374.612,2984.896,0.527,0.501,0.484,0.638,0.496,0.587,0.571,0.931,0.55,0.59,0.353,8.066,8.923,61.49,10.969,8.467,62.899,59.798,10.453,11.484,14.645,8.035,0.437,2.138,86.135,1.02,76.845,5.433,150.0,1.231,1.269,22.525,0.441
